checksum,uptime mp,uptime nav, errorflag mp, errorflag nav,accel x, accel y, accel z, gyro x, gyro y, gyro z, mag x, mag y, mag z, magraw x, magraw y, magraw z, euler x, euler y, euler z, quat w, quat x, quat y, quat z, altitude, pressure, verticalvel,maxrecorded alt,  imutemp, barotemp, state,checksum2
101,7662,536907688,0,0,1103907640911872242221056.000000,-7122545065267822592.000000,-0.321484,0.000000,16279633952678931850245457300409418776576.000000,-inf,0.000000,-0.003297,0.000000,10437629190686688411648.000000,0.000000,-0.000000,15378988928696775081984.000000,3180.699978,-1222243955653148928.000000,13763059008039391592448.000000,-0.000000,-7560538189339008763388856714645209088.000000,0.000000,-0.000588,0.000000,346858.093750,0.000230,-10226.781250-0.000000,-11.731980,0,202
101,7662,0,0,0,21.268047,-0.132164,7.952905,0.834010,0.742210,-2.410230,-2.364926,30.762291,-49.576149,-1150.000000,1861.000000,-3392.000000,159.678881,-170.501753,-104.866305,0.768628,-0.189034,0.042588,0.609641,401.709259,86151.867188,10.374003,401.709259,-937.10900921.500000,22.608597,0,202
101,10132,9985,0,0,-0.124242,0.116718,9.021080,0.066916,1.663892,-5.853481,-2.743803,30.888155,-48.216896,-1212.000000,1883.000000,-3299.000000,89.555241,179.134524,-111.255339,0.584377,-0.582877,0.405136,0.393221,1340.428223,86136.296875,1.480834,1340.428223,1.60998521.625000,22.956604,0,202
101,12186,12056,0,0,-0.180214,0.138721,10.496301,-0.419166,2.544385,25.348862,-3.477111,30.819500,-46.287636,-1332.000000,1871.000000,-3167.000000,89.346702,179.002155,-107.534840,0.570747,-0.569972,0.425244,0.410545,1340.527588,86135.242188,0.013747,1340.593628,1.70935121.625000,23.003004,0,202
101,14246,14132,0,0,-0.167972,0.199316,10.014832,-4.636020,-2.531560,2.639621,-3.501556,30.235949,-48.903828,-1336.000000,1769.000000,-3346.000000,89.159800,178.799026,-94.627012,0.520984,-0.518557,0.488292,0.470367,1340.614380,86134.929688,-0.017020,1340.710693,1.79614321.750000,23.058683,0,202
101,16306,16218,0,0,0.172347,0.898668,10.003475,0.825225,-1.703989,-1.691745,-4.344862,29.938452,-48.202278,-1474.000000,1717.000000,-3298.000000,90.686225,174.763080,-86.291503,0.509367,-0.456443,0.534506,0.496496,1340.702271,86133.421875,0.209615,1340.710693,1.88403321.750000,23.100443,0,202
101,18373,18228,0,0,0.089584,0.380235,9.950026,5.117394,5.174160,-6.609052,-3.770435,30.636425,-46.682255,-1380.000000,1839.000000,-3194.000000,90.064439,177.714993,-81.682027,0.473249,-0.451397,0.543764,0.525925,1340.609619,86135.398438,0.039022,1340.723633,1.79138221.750000,23.151480,0,202
101,20434,20317,0,0,-0.109269,0.071870,10.047518,-0.736925,1.886178,10.992705,-3.819323,30.756569,-45.659164,-1388.000000,1860.000000,-3124.000000,89.368347,179.558829,-82.292298,0.464749,-0.465779,0.537180,0.527727,1340.601440,86135.812500,-0.025112,1340.723633,1.78320321.875000,23.188599,0,202
101,22499,22371,0,0,-0.045711,0.128576,10.068055,0.791923,1.551470,3.803507,-3.580997,30.596376,-45.600700,-1349.000000,1832.000000,-3120.000000,89.527183,179.367256,-73.368362,0.423819,-0.421043,0.571707,0.562362,1340.721924,86133.062500,0.099814,1340.723633,1.90368721.875000,23.225718,0,202
101,24564,24480,0,0,-0.049622,0.150459,10.077391,-0.882735,1.729823,3.138550,-3.672661,30.676474,-44.855305,-1364.000000,1846.000000,-3069.000000,89.388079,179.364292,-65.872981,0.385706,-0.383227,0.598729,0.588125,1340.689575,86132.968750,-0.065279,1340.754395,1.87133822.000000,23.262836,0,202
