checksum,uptime mp,uptime nav, errorflag mp, errorflag nav,accel x, accel y, accel z, gyro x, gyro y, gyro z, mag x, mag y, mag z, magraw x, magraw y, magraw z, euler x, euler y, euler z, quat w, quat x, quat y, quat z, altitude, pressure, verticalvel,maxrecorded alt,altitudeagl,filteredalt,imutemp, barotemp, state,checksum2
101,7684,-1434727239,0,0,0.000001,0.000000,37378569632539473188350853120.000000,0.000000,-0.000000,-1398893.018873,10044750535305069465043142992814145536.000000,0.000000,-58877506668022713986383347712.000000,7.021422,2629665903419073342284196932799692800.000000,27642487111680.000000,-0.000000,-0.000000,-0.000000,-0.000000,-12750201815040.000000,-0.000000,-0.000000,0.000000,0.000000,-0.001385,0.000000,101230366868193479351645241344.000000,-0.166832,-0.000000,16189509632.000000,0,202
101,7684,-1434727239,0,0,0.000001,0.000000,37378569632539473188350853120.000000,0.000000,-0.000000,-1398893.018873,10044750535305069465043142992814145536.000000,0.000000,-58877506668022713986383347712.000000,7.021422,2629665903419073342284196932799692800.000000,27642487111680.000000,-0.000000,-0.000000,-0.000000,-0.000000,-12750201815040.000000,-0.000000,-0.000000,0.000000,0.000000,-0.001385,0.000000,101230366868193479351645241344.000000,-0.166832,-0.000000,16189509632.000000,0,202
101,13121,13037,0,0,-0.237017,-0.345601,9.911888,-1.005981,-0.174096,0.000991,-27.462431,42.891003,-33.192051,-5257.000000,3981.000000,-2271.000000,68.560401,-92.420977,124.442700,0.626231,-0.346093,-0.622848,0.316409,1212.991211,87488.132812,8.152255,0.037476,0.009155,-0.004160,23.375000,25.605484,0,202
101,15177,15054,0,0,-0.216674,-0.319419,9.904116,-0.231843,-0.006903,0.436143,-27.413546,42.696484,-32.885124,-5249.000000,3947.000000,-2250.000000,66.823149,-92.409673,122.729511,0.625709,-0.346199,-0.623233,0.316566,1213.171753,87483.132812,0.143342,0.189697,0.189697,0.092460,23.500000,25.628857,0,202
101,17235,17149,0,0,-0.233027,-0.348761,9.909329,0.661898,-0.002660,0.131757,-27.499096,42.650715,-33.411282,-5263.000000,3939.000000,-2286.000000,66.491830,-92.376580,122.505836,0.625314,-0.346590,-0.623013,0.317353,1213.075195,87487.781250,-0.213759,0.277222,0.093140,-0.015777,23.500000,25.666254,0,202
101,19294,19164,0,0,-0.214676,-0.332419,9.903777,-0.267166,0.426519,-0.330137,-27.413546,42.868114,-32.592808,-5249.000000,3977.000000,-2230.000000,66.817248,-92.288075,122.854462,0.625296,-0.346171,-0.622916,0.318035,1213.249634,87484.851562,0.055013,0.345215,0.267578,0.268613,23.625000,25.689629,0,202
101,21362,21236,0,0,-0.232432,-0.341999,9.901710,-0.631422,-0.161256,-0.082745,-27.248547,42.627831,-33.557438,-5221.000000,3956.000000,-2288.000000,66.900152,-92.331658,122.820052,0.625660,-0.345797,-0.623222,0.317126,1213.172119,87485.828125,-0.143918,0.345215,0.190063,0.208488,23.625000,25.717676,0,202
101,23450,23335,0,0,-0.224901,-0.350721,9.898408,-0.619538,-0.621923,-0.226900,-27.541872,43.039749,-33.396667,-5270.000000,4007.000000,-2285.000000,66.752497,-92.410226,122.670034,0.625660,-0.346265,-0.623217,0.316622,1213.162109,87486.148438,-0.006202,0.345215,0.180054,0.178332,23.500000,25.741049,0,202
101,25568,25413,0,0,-0.228072,-0.350946,9.895133,-0.117697,0.690894,0.475629,-27.499096,42.770859,-33.002045,-5263.000000,3960.000000,-2258.000000,67.233780,-92.384258,123.221749,0.625578,-0.346479,-0.622898,0.317179,1213.142578,87487.250000,-0.017789,0.345215,0.160522,0.186422,23.500000,25.778446,0,202
101,27629,27516,0,0,-0.222076,-0.330200,9.896024,0.578316,-0.264278,-0.005669,-27.071335,42.736534,-33.586674,-5193.000000,3954.000000,-2298.000000,67.706320,-92.302692,123.922718,0.625024,-0.347213,-0.622145,0.318943,1213.161621,87484.679688,-0.084515,0.345215,0.179565,0.180194,23.625000,25.806494,0,202
101,29714,29588,0,0,-0.230848,-0.353834,9.894920,0.089311,0.279422,0.966506,-27.511316,42.799461,-33.615902,-5265.000000,3965.000000,-2300.000000,67.940691,-92.321311,123.987823,0.625562,-0.346401,-0.622585,0.317910,1213.094238,87488.375000,-0.091285,0.345215,0.112183,0.205411,23.625000,25.839216,0,202
101,31802,31687,0,0,-0.228861,-0.336738,9.894445,0.092544,0.203449,0.137747,-27.382990,42.782299,-33.659748,-5244.000000,3962.000000,-2303.000000,68.291216,-92.356343,124.201608,0.626048,-0.345861,-0.622884,0.316955,1213.141602,87489.054688,-0.115588,0.345215,0.159546,0.165545,23.625000,25.867264,0,202
