Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,2.0566669942931098487117501903,2.05666699429311,2.02165893515305,2.05666699429311,2.02165893515305,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,725604.6
0.02,0,1.8177847082616419051004930283,1.81778470826164,1.78277664912158,1.81778470826164,1.78277664912158,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,1451209
0.03,0,1.6991367939193773294878933300,1.69913679391938,1.66412873477932,1.69913679391938,1.66412873477932,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,2176814
0.04,0,1.6229116814408270987836050033,1.62291168144083,1.58790362230077,1.62291168144083,1.58790362230077,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,2902418
0.05,0,1.5678824280938341980471874726,1.56788242809383,1.53287436895377,1.56788242809383,1.53287436895377,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,3628023
0.06,0,1.5253882039067579165647798754,1.52538820390676,1.4903801447667,1.52538820390676,1.4903801447667,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,4353628
0.07,0,1.4911002230720205650594393066,1.49110022307202,1.45609216393196,1.49110022307202,1.45609216393196,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,5079232
0.08,0,1.4625650971314284908274878506,1.46256509713143,1.42755703799137,1.46256509713143,1.42755703799137,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,5804837
0.09,0,1.4382677047650662128612155906,1.43826770476507,1.40325964562501,1.43826770476507,1.40325964562501,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,6530442
0.10,0,1.4172110274946030286847925638,1.4172110274946,1.38220296835454,1.4172110274946,1.38220296835454,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,7256046
0.11,0,1.3987069813938507248398565953,1.39870698139385,1.36369892225379,1.39870698139385,1.36369892225379,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,7981652
0.12,0,1.3822618095374154998206616864,1.38226180953742,1.34725375039736,1.38226180953742,1.34725375039736,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,8707256
0.13,0,1.3675099991037089408184067443,1.36750999910371,1.33250193996365,1.36750999910371,1.33250193996365,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,9432860
0.14,0,1.3541745473849352082515714595,1.35417454738494,1.31916648824488,1.35417454738494,1.31916648824488,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,10158460
0.15,0,1.3420403548086898820610169811,1.34204035480869,1.30703229566863,1.34204035480869,1.30703229566863,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,10884070
0.16,0,1.3309376452687009330596412311,1.3309376452687,1.29592958612864,1.3309376452687,1.29592958612864,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,11609670
0.17,0,1.3207300877953242691759155438,1.32073008779532,1.28572202865526,1.32073008779532,1.28572202865526,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,12335280
0.18,0,1.3113071101807979560872515321,1.3113071101808,1.27629905104074,1.3113071101808,1.27629905104074,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,13060880
0.19,0,1.3025768655010766049711372282,1.30257686550108,1.26756880636102,1.30257686550108,1.26756880636102,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,13786490
0.20,0,1.2944640913272539637766524861,1.29446409132725,1.25945603218719,1.29446409132725,1.25945603218719,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,14512090
0.21,0,1.2869043525827377216419223629,1.28690435258274,1.25189629344268,1.28690435258274,1.25189629344268,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,15237700
0.22,0,1.2798440292535494857661488593,1.27984402925355,1.24483597011349,1.27984402925355,1.24483597011349,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,15963300
0.23,0,1.2732367355539244157005910035,1.27323673555392,1.23822867641386,1.27323673555392,1.23822867641386,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,16688910
0.24,0,1.2670431377591083696272925020,1.26704313775911,1.23203507861905,1.26704313775911,1.23203507861905,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,17414510
0.25,0,1.2612287531386456376802802289,1.26122875313865,1.22622069399859,1.26122875313865,1.22622069399859,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,18140120
0.26,0,1.2566307221769433117978674390,1.25663072217694,1.22162266303688,1.25663072217694,1.22162266303688,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,18865720
0.27,0,1.2542009371329375819765249263,1.25420093713294,1.21919287799288,1.25420093713294,1.21919287799288,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,19591330
0.28,0,1.2527506186595833625243634728,1.25275061865958,1.21774255951952,1.25275061865958,1.21774255951952,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,20316930
0.29,0,1.2514628818898252591996307021,1.25146288188983,1.21645482274977,1.25146288188983,1.21645482274977,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,21042530
0.30,0,1.2503292841139373355550120490,1.25032928411394,1.21532122497388,1.25032928411394,1.21532122497388,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,21768140
0.31,0,1.2493421095180220676487092549,1.24934210951802,1.21433405037796,1.24934210951802,1.21433405037796,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,22493740
0.32,0,1.2489789818022436016260207769,1.24897898180224,1.21397092266218,1.24897898180224,1.21397092266218,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,23219350
0.33,0,1.2505292165915106228603694210,1.25052921659151,1.21552115745145,1.25052921659151,1.21552115745145,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,23944950
0.34,0,1.2521214430584976750567522064,1.2521214430585,1.21711338391844,1.2521214430585,1.21711338391844,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,24670560
0.35,0,1.2537566976063597539532815107,1.25375669760636,1.2187486384663,1.25375669760636,1.2187486384663,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,25396160
0.36,0,1.2554362770428198115528029639,1.25543627704282,1.22042821790276,1.25543627704282,1.22042821790276,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,26121770
0.37,0,1.2571615988118651330832685909,1.25716159881187,1.2221535396718,1.25716159881187,1.2221535396718,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,26847370
0.38,0,1.2589343887711155882952548957,1.25893438877112,1.22392632963106,1.25893438877112,1.22392632963106,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,27572980
0.39,0,1.2607560353527727111705383345,1.26075603535277,1.22574797621271,1.26075603535277,1.22574797621271,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,28298580
0.40,0,1.2626282834117376995311821928,1.26262828341174,1.22762022427168,1.26262828341174,1.22762022427168,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,29024190
0.41,0,1.2645531314511905740503115047,1.26455313145119,1.22954507231113,1.26455313145119,1.22954507231113,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,29749790
0.42,0,1.2665323953137917637857638605,1.26653239531379,1.23152433617373,1.26653239531379,1.23152433617373,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,30475390
0.43,0,1.2685681215303067228541860108,1.26856812153031,1.23356006239025,1.26856812153031,1.23356006239025,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,31201000
0.44,0,1.2706625315913852213138520393,1.27066253159139,1.23565447245133,1.27066253159139,1.23565447245133,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,31926610
0.45,0,1.2728181820981702567004729523,1.27281818209817,1.23781012295811,1.27281818209817,1.23781012295811,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,32652210
0.46,0,1.2750371615469183952740091792,1.27503716154692,1.24002910240686,1.27503716154692,1.24002910240686,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,33377820
0.47,0,1.2773225668468462643480490941,1.27732256684685,1.24231450770679,1.27732256684685,1.24231450770679,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,34103420
0.48,0,1.2796771272431143603410571854,1.27967712724311,1.24466906810305,1.27967712724311,1.24466906810305,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,34829020
0.49,0,1.2821039279619455524891547494,1.28210392796195,1.24709586882189,1.28210392796195,1.24709586882189,0,0,0,0,44.392594335087847270274694061,95.13826538992040389412862319,92.68171710849546700544178487,35554630
