Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,1.8761990687622853312952347781,1.87619906876229,1.84119100962223,1.87619906876229,1.84119100962223,0,0,0,0,39.610131022175805830588624727,81.67768404992123606005716381,79.8013751870656436642440999,641283.6
0.02,0,1.6603591731782145983946302441,1.66035917317821,1.62535111403815,1.66035917317821,1.62535111403815,0,0,0,0,39.610131022175805830588624727,81.67768404992123606005716381,79.8013751870656436642440999,1282567
0.03,0,1.5533595081159855459410572128,1.55335950811599,1.51835144897593,1.55335950811599,1.51835144897593,0,0,0,0,39.610131022175805830588624727,81.67768404992123606005716381,79.8013751870656436642440999,1923851
0.04,0,1.4846998142423748644175799144,1.48469981424238,1.44969175510231,1.48469981424238,1.44969175510231,0,0,0,0,39.610131022175805830588624727,81.67768404992123606005716381,79.8013751870656436642440999,2565134
0.05,0,1.4351773020061426422040779492,1.43517730200614,1.40016924286608,1.43517730200614,1.40016924286608,0,0,0,0,39.610131022175805830588624727,81.67768404992123606005716381,79.8013751870656436642440999,3206418
0.06,0,1.3969648634616236497786983614,1.39696486346162,1.36195680432156,1.39696486346162,1.36195680432156,0,0,0,0,39.610131022175805830588624727,81.67768404992123606005716381,79.8013751870656436642440999,3847702
0.07,0,1.3661530119747935999678345986,1.36615301197479,1.33114495283473,1.36615301197479,1.33114495283473,0,0,0,0,39.610131022175805830588624727,81.67768404992123606005716381,79.8013751870656436642440999,4488986
0.08,0,1.3405279228518141809215794590,1.34052792285181,1.30551986371175,1.34052792285181,1.30551986371175,0,0,0,0,39.610131022175805830588624727,81.67768404992123606005716381,79.8013751870656436642440999,5130269
0.09,0,1.3187224752905390245698782320,1.31872247529054,1.28371441615048,1.31872247529054,1.28371441615048,0,0,0,0,39.610131022175805830588624727,81.67768404992123606005716381,79.8013751870656436642440999,5771553
0.10,0,1.2998372520939150376315022421,1.29983725209392,1.26482919295386,1.29983725209392,1.26482919295386,0,0,0,0,39.610131022175805830588624727,81.67768404992123606005716381,79.8013751870656436642440999,6412836
0.11,0,1.2832525064493033777432954359,1.2832525064493,1.24824444730924,1.2832525064493,1.24824444730924,0,0,0,0,39.610131022175805830588624727,81.67768404992123606005716381,79.8013751870656436642440999,7054120
0.12,0,1.2685229886400800715202850337,1.26852298864008,1.23351492950002,1.26852298864008,1.23351492950002,0,0,0,0,39.610131022175805830588624727,81.67768404992123606005716381,79.8013751870656436642440999,7695404
