Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,28,0,0,70,88.44809,7.379236,0,0,0,0,0,0,88,88,0,0
0.09999999,B,0.09999999,0.02428108,0,1.730403,0,282.3732,27.89845,0.04789836,0,69.6714,88.44809,7.510675,293.44051287743,293.220422709875,11.3630235242007,30.2657386401322,28.05251,1.091969,88,88,1.379468,0.05378977
0.2,B,0.2,0.05038115,0,1.539535,0,306.2478,27.77171,0.1834438,0,69.3428,88.44809,7.642115,322.428263844156,322.190708148813,12.3746882030611,60.2821347971591,58.96072,2.28366,88,88,5.706186,0.2217351
0.3,B,0.3,0.07970187,0,1.438257,0,330.6186,27.63452,0.4287879,0,69.01421,88.44809,7.773554,352.27703360083,352.021460405905,13.4164010186934,93.8416350824226,92.81437,3.578209,88,88,13.2703,0.5139679
0.3999999,B,0.3999999,0.111843,4.680955,1.666363,3.314691,355.4081,27.48667,0.9779007,2.063999,68.68561,85.86314,6.871015,382.726357411496,382.5316,12.20818,130.580963516763,129.693,4.933427,87.99534,87.82156,24.42739,0.9404708
0.4999998,B,0.4999998,0.146758,3.373917,1.472327,2.329978,380.5414,27.32799,1.486946,2.471493,68.35701,86.51844,7.264573,414.120759858117,413.8846,13.98362,170.466634588151,169.6661,6.232152,87.81899,87.89636,39.56932,1.497201
0.5999997,B,0.5999997,0.1845215,2.230756,1.350289,1.521862,405.9725,27.15835,2.154394,2.53277,68.02841,87.11806,7.635859,446.233298592284,445.8421,18.68097,213.579460792766,212.8086,7.860695,87.36134,87.88457,58.88241,2.197839
0.6999996,B,0.6999996,0.225183,1.143177,1.272697,0.7909224,431.5845,26.97764,3.021694,1.948978,67.69981,87.71935,8.007816,478.949705776587,478.1833,27.08417,259.972038361997,259.1682,10.15904,86.63635,87.75523,82.68634,3.091731
0.7999995,B,0.7999995,0.2687858,0.1573793,1.232249,0.1527504,457.3409,26.78578,4.164314,0.5337207,67.37122,88.30013,8.371567,512.235499490804,510.7514,38.96427,309.689006683295,308.7757,13.49753,85.75599,87.49702,111.3047,4.264614
0.8999994,B,0.8999994,0.3153622,-0.5605175,1.221596,-0.3152368,483.186,26.58272,5.676496,-1.509941,67.04262,88.14687,8.441703,545.986882565973,543.4851,52.20749,362.762355403524,361.6494,18.12533,84.9502,87.13082,145.0633,5.834788
0.9999993,B,0.9999993,0.3649378,-0.8153573,1.223778,-0.5103804,509.0693,26.36842,7.604889,-3.261234,66.71402,87.96798,8.501584,580.04956846831,576.6592,62.62323,419.216719000095,417.8167,23.96348,84.50076,86.71745,184.2901,7.930791
1.099999,B,1.099999,0.4175421,-0.5556439,1.229792,-0.3743369,534.9464,26.14288,9.988867,-3.119984,66.38542,88.09203,8.682645,614.205183173542,610.6898,65.61993,479.080459237983,477.3457,30.4639,84.567,86.34837,229.3177,10.65004
1.199999,B,1.199999,0.4732008,-0.01725884,1.237486,-0.04357548,560.7782,25.90612,12.88708,-0.464839,66.05682,88.40549,8.939466,648.427318332469,645.5775,60.72626,542.375821308229,540.3292,36.80421,85.00373,86.10336,280.4875,14.01782
1.299999,B,1.299999,0.531923,0.3368644,1.253403,0.1990261,586.53,25.65815,16.46085,2.673388,65.72823,88.25593,9.011082,682.733639842364,680.5172,54.96875,609.105032338594,606.813,42.52232,85.36478,85.99156,338.1483,17.98886
1.399999,B,1.399999,0.593713,0.2169543,1.271988,0.1523949,612.1728,25.39902,20.76522,2.541219,65.39963,88.30031,9.160273,717.061605873288,714.6843,58.34122,679.26627915503,676.7534,48.10491,85.28706,85.93415,402.6482,22.51695
1.499999,B,1.499999,0.6585669,-0.1088568,1.304995,-0.05130512,637.6819,25.12877,26.14787,-1.048807,65.07103,88.39787,9.330738,750.974713045552,747.6732,70.34064,752.842495182996,750.0446,54.57636,84.94991,85.83826,474.3274,27.64077
1.599999,B,1.599999,0.7264433,-0.1357438,1.332518,-0.09281877,663.0612,24.84747,32.39783,-2.300016,64.74243,88.35748,9.446021,784.652093889964,780.8848,76.79738,829.780294190973,826.6212,62.0686,84.86304,85.70589,553.5162,33.46811
1.699999,B,1.699999,0.7973769,0.07306635,1.334321,0.03497837,688.2438,24.55519,38.96888,1.040174,64.41383,88.41378,9.599979,818.665923604331,815.4077,72.96696,910.115615989802,906.6069,69.57061,85.04034,85.61187,640.5491,40.05369
1.799999,B,1.799999,0.8711997,0.05322979,1.445727,0.04134791,713.2408,24.25201,50.23617,1.461586,64.08524,88.40742,9.728873,847.51041880403,844.2029,74.80223,993.591901506092,989.7644,76.85906,85.0225,85.55967,735.7599,47.37315
1.899999,B,1.899999,0.9475208,-0.05866254,1.57454,-0.03546111,738.041,23.93801,64.48491,-1.476081,63.75664,89.86369,10.44282,873.294808749773,869.2985,83.45023,1079.77728825091,1075.58,84.84491,84.88779,85.48968,839.4362,55.45105
