Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,2.0679527225990619927770173279,2.06795272259906,2.03635794922516,2.06795272259906,2.03635794922516,0,0,0,0,50.470283783200057270274694062,98.18100294149850999070144267,95.79186633809678791770507462,725604.6
0.02,0,1.8273163212060162210889518881,1.82731632120602,1.79572154783211,1.82731632120602,1.79572154783211,0,0,0,0,50.470283783200057270274694062,98.18100294149850999070144267,95.79186633809678791770507462,1451209
0.03,0,1.7078137942058071623403458223,1.70781379420581,1.6762190208319,1.70781379420581,1.6762190208319,0,0,0,0,50.470283783200057270274694062,98.18100294149850999070144267,95.79186633809678791770507462,2176814
0.04,0,1.6310457758111789294472205640,1.63104577581118,1.59945100243727,1.63104577581118,1.59945100243727,0,0,0,0,50.470283783200057270274694062,98.18100294149850999070144267,95.79186633809678791770507462,2902418
0.05,0,1.5756272302385601581506597639,1.57562723023856,1.54403245686466,1.57562723023856,1.54403245686466,0,0,0,0,50.470283783200057270274694062,98.18100294149850999070144267,95.79186633809678791770507462,3628023
0.06,0,1.5328340942475433483626109369,1.53283409424754,1.50123932087364,1.53283409424754,1.50123932087364,0,0,0,0,50.470283783200057270274694062,98.18100294149850999070144267,95.79186633809678791770507462,4353628
0.07,0,1.4983054489829995721234130405,1.498305448983,1.4667106756091,1.498305448983,1.4667106756091,0,0,0,0,50.470283783200057270274694062,98.18100294149850999070144267,95.79186633809678791770507462,5079232
0.08,0,1.4695706953164271849872729466,1.46957069531643,1.43797592194252,1.46957069531643,1.43797592194252,0,0,0,0,50.470283783200057270274694062,98.18100294149850999070144267,95.79186633809678791770507462,5804837
0.09,0,1.4451034783507168943854420358,1.44510347835072,1.41350870497681,1.44510347835072,1.41350870497681,0,0,0,0,50.470283783200057270274694062,98.18100294149850999070144267,95.79186633809678791770507462,6530442
0.10,0,1.4238995647031208378580091591,1.42389956470312,1.39230479132922,1.42389956470312,1.39230479132922,0,0,0,0,50.470283783200057270274694062,98.18100294149850999070144267,95.79186633809678791770507462,7256046
0.11,0,1.4052663129651806920073026205,1.40526631296518,1.37367153959128,1.40526631296518,1.37367153959128,0,0,0,0,50.470283783200057270274694062,98.18100294149850999070144267,95.79186633809678791770507462,7981652
0.12,0,1.3887060294799663032233081892,1.38870602947997,1.35711125610606,1.38870602947997,1.35711125610606,0,0,0,0,50.470283783200057270274694062,98.18100294149850999070144267,95.79186633809678791770507462,8707256
