TRACKER,DATE,TIME,LAT,LON,ALT,FIX,HORZV,VERTV,HEAD,FLAGS,#TOT,>40,>32,>24,RSSI,BATT
SOHNTTT    ,2026-01-18,13:59:59.295,35.347610,-117.809138,2053,3,0,0,-59,0x01,25,0,6,14,0,0.000
SOHNTTT    ,2026-01-18,14:00:00.284,35.347610,-117.809137,2053,3,0,0,11,0x01,25,0,6,14,0,0.000
SOHNTTT    ,2026-01-18,14:00:01.303,35.347610,-117.809137,2053,3,0,0,178,0x01,25,0,7,15,0,0.000
SOHNTTT    ,2026-01-18,14:00:02.294,35.347610,-117.809137,2053,3,0,0,-24,0x01,25,0,7,13,0,0.000
SOHNTTT    ,2026-01-18,14:00:03.285,35.347610,-117.809136,2053,3,0,0,-125,0x01,25,0,6,13,0,0.000
SOHNTTT    ,2026-01-18,14:00:04.305,35.347610,-117.809136,2053,3,0,0,35,0x01,24,0,10,17,0,0.000
SOHNTTT    ,2026-01-18,14:00:05.295,35.347610,-117.809137,2053,3,0,0,-83,0x01,25,0,6,13,0,0.000
SOHNTTT    ,2026-01-18,14:00:08.294,35.347610,-117.809137,2052,3,0,0,72,0x01,25,0,5,15,0,0.000
SOHNTTT    ,2026-01-18,14:00:09.285,35.347610,-117.809138,2052,3,0,0,168,0x01,23,0,8,17,0,0.000
SOHNTTT    ,2026-01-18,14:00:10.305,35.347610,-117.809138,2052,3,0,0,-56,0x01,24,0,8,17,0,0.000
SOHNTTT    ,2026-01-18,14:00:11.293,35.347610,-117.809138,2052,3,0,0,-8,0x01,24,0,7,17,0,0.000
SOHNTTT    ,2026-01-18,14:00:12.284,35.347610,-117.809138,2052,3,0,0,77,0x01,25,0,7,17,0,0.000
SOHNTTT    ,2026-01-18,14:00:13.305,35.347610,-117.809138,2051,3,0,0,113,0x01,24,0,6,16,0,0.000
SOHNTTT    ,2026-01-18,14:00:14.294,35.347610,-117.809138,2051,3,0,0,-65,0x01,24,0,6,16,0,0.000
SOHNTTT    ,2026-01-18,14:00:15.285,35.347610,-117.809138,2051,3,0,0,-57,0x01,24,0,6,17,0,0.000
SOHNTTT    ,2026-01-18,14:00:16.304,35.347610,-117.809138,2051,3,0,0,101,0x01,24,0,6,17,0,0.000
SOHNTTT    ,2026-01-18,14:00:17.338,35.347610,-117.809138,2051,3,0,0,-127,0x01,25,0,4,11,0,0.000
