height,speed,direction,pressure,TempC,SoS,D_Den,RelH,W_Den,dVRatio,MSL,wind_u,wind_v,temperature 
0,0.36,360,947.9,14.5,340.01,1.148,    ,1.148,1,627,0.35999974710847,-0.000426710484733068,287.5
2,0.4,360,947.7,14.5,340,1.1478,41,1.1446,1.00009,629,0.399999719009411,-0.00047412276081452,287.5
6,1.98,22,950,15,340.29,1.1486,35,1.1458,0.99974,633,1.83587775411605,0.741588074298523,288
10,0.5,360,946.8,14.4,339.97,1.1469,    ,1.1469,1.00048,637,0.499999648761764,-0.00059265345101815,287.4
80,0.28,45,938.9,16.2,341,1.1305,    ,1.1305,1.00771,707,0.198019231415007,0.197960561703108,289.2
120,1.6,27,934.5,16,340.88,1.1259,    ,1.1259,1.00977,747,1.42567500725196,0.726258062741561,289
230,2.45,24,925,13.8,339.58,1.123,31,1.1207,1.01107,857,2.23826510852074,0.996327909866351,286.8
460,2.91,16,900,12.5,338.81,1.0977,27,1.0958,1.02265,1087,2.7973137864308,0.801957343157467,285.5
937,0.13,270,850,11.5,338.22,1.0403,16,1.0392,1.05049,1564,-0.000115567434787787,-0.129999948631405,284.5
1443,2.52,276,800,11.3,338.1,0.9798,10,0.9791,1.08244,2070,0.261134150447661,-2.5064335130759,284.3
1979,4.92,290,750,9.7,337.15,0.9238,8,0.9233,1.11476,2606,1.67832388134325,-4.62489231759107,282.7
2547,5.07,280,700,6.5,335.24,0.8721,8,0.8716,1.14733,3174,0.87579283547702,-4.99378482809653,279.5
3150,5.66,284,650,2.7,332.95,0.8209,8,0.8206,1.18257,3777,1.36414201366755,-5.4931517880491,275.7
3790,6.9,287,600,-2,330.1,0.7709,11,0.7706,1.22031,4417,2.01112858631761,-6.60040618517498,271
4474,7.42,280,550,-7.4,326.8,0.721,13,0.7207,1.26184,5101,1.28173231543185,-7.30845826912747,265.6
5207,8.06,263,500,-13.3,323.15,0.6704,21,0.6701,1.30859,5834,-0.989193933111048,-7.9990684059268,259.7
6000,9.34,268,450,-19.4,319.34,0.6178,57,0.6174,1.36316,6627,-0.334197723209429,-9.33401906371535,253.6
6862,11.69,273,400,-26.1,315.09,0.5641,73,0.5638,1.42657,7489,0.60131383373634,-11.6745244731148,246.9
7811,13.37,274,350,-33.8,310.14,0.5094,62,0.5093,1.50121,8438,0.92061130617414,-13.3382673096225,239.2
8870,14.02,273,300,-42.5,304.45,0.4531,42,0.4531,1.59175,9497,0.721165094010564,-14.0014399583465,230.5
10074,17,271,250,-52.5,297.78,0.3947,44,0.3947,1.70544,10701,0.281524464219391,-16.9976687806312,220.5
11499,11.34,294,200,-54.5,296.43,0.3187,8,0.3186,1.89793,12126,4.60236326602252,-10.3640654362835,218.5
13316,16.12,330,150,-62.5,290.95,0.2481,6,0.2481,2.15108,13943,13.9515638257443,-8.07516357829265,210.5
15769,14.79,337,100,-68,287.13,0.1698,3,0.1698,2.60017,16396,13.6078462409494,-5.79401593738565,205
17925,10.09,8,70,-67,287.83,0.1183,4,0.1183,3.11515,18552,9.99184179847885,1.403993402467,206
19952,8.5,42,50,-63,290.61,0.0829,0,0.0829,3.72129,20579,6.31751747209221,5.68673658523144,210
23167,12.53,61,30,-59,293.36,0.0488,0,0.0488,4.85022,23794,6.07686546241424,10.9577646512287,214
25725,21.02,63,20,-55.5,295.75,0.032,0,0.032,5.98957,26352,9.54676502348656,18.7269772677369,217.5
30199,14.47,52,10,-54,296.77,0.0159,0,0.0159,8.49713,30826,8.91057365390422,11.4009901832406,219
