forecast_time_local,time_since_apogee_s,descent_speed_ms
08:00 Local,0.00,29.31
08:00 Local,6.77,28.84
08:00 Local,13.64,28.38
08:00 Local,20.63,27.95
08:00 Local,27.72,27.50
08:00 Local,34.93,27.01
08:00 Local,42.27,26.52
08:00 Local,49.75,26.06
08:00 Local,57.35,25.61
08:00 Local,65.09,25.17
08:00 Local,72.97,24.74
08:00 Local,80.99,24.33
08:00 Local,89.14,23.94
08:00 Local,97.42,23.56
08:00 Local,105.84,23.21
08:00 Local,114.38,22.87
08:00 Local,123.05,22.50
08:00 Local,131.86,22.10
08:00 Local,140.84,21.71
08:00 Local,149.97,21.35
08:00 Local,159.25,21.00
08:00 Local,168.70,20.67
08:00 Local,178.29,20.36
08:00 Local,188.02,20.06
08:00 Local,197.91,19.78
08:00 Local,207.93,19.51
08:00 Local,218.10,19.25
08:00 Local,228.40,19.00
08:00 Local,238.83,18.74
08:00 Local,249.41,18.45
08:00 Local,260.16,18.19
08:00 Local,271.06,17.93
08:00 Local,282.12,17.68
08:00 Local,293.33,17.44
08:00 Local,304.70,17.22
08:00 Local,316.21,17.00
08:00 Local,327.88,16.76
08:00 Local,339.71,16.52
08:00 Local,351.71,16.29
08:00 Local,363.88,16.07
08:00 Local,376.22,15.83
08:00 Local,388.74,15.60
08:00 Local,401.46,15.37
08:00 Local,414.36,15.16
08:00 Local,427.44,14.95
08:00 Local,440.70,14.76
08:00 Local,454.13,14.58
08:00 Local,467.72,14.41
08:00 Local,481.48,14.25
08:00 Local,495.40,14.09
08:00 Local,509.47,13.94
08:00 Local,523.70,13.79
08:00 Local,538.07,13.64
08:00 Local,552.60,13.50
08:00 Local,567.29,13.35
08:00 Local,582.14,13.21
08:00 Local,597.15,13.07
08:00 Local,612.32,12.92
08:00 Local,627.67,12.78
08:00 Local,643.18,12.64
08:00 Local,658.86,12.51
08:00 Local,674.72,12.37
08:00 Local,690.74,12.24
08:00 Local,706.94,12.12
08:00 Local,723.31,11.99
08:00 Local,739.85,11.86
08:00 Local,756.56,11.75
08:00 Local,773.44,11.63
08:00 Local,790.49,11.51
08:00 Local,807.71,11.40
08:00 Local,825.11,11.29
08:00 Local,842.67,11.18
08:00 Local,860.42,11.07
08:00 Local,878.33,10.96
08:00 Local,896.43,10.85
