height,pressure,temperature,wind_u,wind_v
2,94770,287.5,0.399999719009411,-0.00047412276081452
6,95000,288,1.83587775411605,0.741588074298523
10,94680,287.4,0.499999648761764,-0.00059265345101815
80,93890,289.2,0.198019231415007,0.197960561703108
120,93450,289,1.42567500725196,0.726258062741561
230,92500,286.8,2.23826510852074,0.996327909866351
460,90000,285.5,2.7973137864308,0.801957343157467
937,85000,284.5,-0.000115567434787787,-0.129999948631405
1443,80000,284.3,0.261134150447661,-2.5064335130759
1979,75000,282.7,1.67832388134325,-4.62489231759107
2547,70000,279.5,0.87579283547702,-4.99378482809653
3150,65000,275.7,1.36414201366755,-5.4931517880491
3790,60000,271,2.01112858631761,-6.60040618517498
4474,55000,265.6,1.28173231543185,-7.30845826912747
5207,50000,259.7,-0.989193933111048,-7.9990684059268
6000,45000,253.6,-0.334197723209429,-9.33401906371535
6862,40000,246.9,0.60131383373634,-11.6745244731148
7811,35000,239.2,0.92061130617414,-13.3382673096225
8870,30000,230.5,0.721165094010564,-14.0014399583465
10074,25000,220.5,0.281524464219391,-16.9976687806312
11499,20000,218.5,4.60236326602252,-10.3640654362835
13316,15000,210.5,13.9515638257443,-8.07516357829265
15769,10000,205,13.6078462409494,-5.79401593738565
17925,7000,206,9.99184179847885,1.403993402467
19952,5000,210,6.31751747209221,5.68673658523144
23167,3000,214,6.07686546241424,10.9577646512287
25725,2000,217.5,9.54676502348656,18.7269772677369
30199,1000,219,8.91057365390422,11.4009901832406
