Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,2.0389347563250563249724513272,2.03893475632506,2.03893475632506,2.03893475632506,2.03893475632506,0,0,0,0,45.03774083166927788750195572,91.54756364715839670641990884,89.35162234054764621126690172,707349.9
0.02,0,1.8019627540469002169474769965,1.8019627540469,1.8019627540469,1.8019627540469,1.8019627540469,0,0,0,0,45.03774083166927788750195572,91.54756364715839670641990884,89.35162234054764621126690172,1414700
0.03,0,1.6843138196364366740390794042,1.68431381963644,1.68431381963644,1.68431381963644,1.68431381963644,0,0,0,0,45.03774083166927788750195572,91.54756364715839670641990884,89.35162234054764621126690172,2122050
0.04,0,1.6087501113073304602056585797,1.60875011130733,1.60875011130733,1.60875011130733,1.60875011130733,0,0,0,0,45.03774083166927788750195572,91.54756364715839670641990884,89.35162234054764621126690172,2829400
0.05,0,1.5542085153753929691239950692,1.55420851537539,1.55420851537539,1.55420851537539,1.55420851537539,0,0,0,0,45.03774083166927788750195572,91.54756364715839670641990884,89.35162234054764621126690172,3536750
0.06,0,1.5120976783726475811068867265,1.51209767837265,1.51209767837265,1.51209767837265,1.51209767837265,0,0,0,0,45.03774083166927788750195572,91.54756364715839670641990884,89.35162234054764621126690172,4244100
0.07,0,1.4781230823268572350469157665,1.47812308232686,1.47812308232686,1.47812308232686,1.47812308232686,0,0,0,0,45.03774083166927788750195572,91.54756364715839670641990884,89.35162234054764621126690172,4951450
0.08,0,1.4498523048598589511112262621,1.44985230485986,1.44985230485986,1.44985230485986,1.44985230485986,0,0,0,0,45.03774083166927788750195572,91.54756364715839670641990884,89.35162234054764621126690172,5658800
0.09,0,1.4257825443225263104005598434,1.42578254432253,1.42578254432253,1.42578254432253,1.42578254432253,0,0,0,0,45.03774083166927788750195572,91.54756364715839670641990884,89.35162234054764621126690172,6366150
0.10,0,1.4049251106771244360828113847,1.40492511067712,1.40492511067712,1.40492511067712,1.40492511067712,0,0,0,0,45.03774083166927788750195572,91.54756364715839670641990884,89.35162234054764621126690172,7073500
0.11,0,1.3865980284188845724208387089,1.38659802841888,1.38659802841888,1.38659802841888,1.38659802841888,0,0,0,0,45.03774083166927788750195572,91.54756364715839670641990884,89.35162234054764621126690172,7780849
0.12,0,1.3703115924338520790965277372,1.37031159243385,1.37031159243385,1.37031159243385,1.37031159243385,0,0,0,0,45.03774083166927788750195572,91.54756364715839670641990884,89.35162234054764621126690172,8488199
