Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,9.87,0,0,48.3,58.01153,4.414333,0,0,0,0,0,0,85,85,0,0
0.09999999,B,0.09999999,0.03367106,0,1.009725,0,146.2741,9.822609,0.04159298,0,48.08925,58.01153,4.510127,446.942494344915,444.988582328753,41.7463153859255,42.869262108647,38.74745,3.671449,85,85,1.730486,0.1654723
0.2,B,0.2,0.07243427,9.888773,1.83097,4.86937,155.2166,9.755999,0.3489677,1.036077,47.87851,54.90181,3.192411,478.700578919475,476.9007,41.47248,87.9596579406532,85.0041,7.93983,84.99381,84.66375,7.962777,0.7461391
0.3,B,0.3,0.1149456,6.067234,1.14479,2.743599,164.4379,9.685285,0.5492418,1.419744,47.66776,55.93955,3.759907,512.390423193022,510.4056,45.05629,137.193894373531,134.5267,12.25084,84.75095,84.79664,19.15921,1.752575
0.3999999,B,0.3999999,0.1607113,3.737209,0.9011033,1.6181,173.9918,9.610323,0.8446543,1.60778,47.45701,56.64993,4.178601,547.614417192106,544.9688,53.7639,190.151074740192,187.4639,17.18463,84.09339,84.76239,35.4949,3.216938
0.4999998,B,0.4999998,0.209718,1.884037,0.7857634,0.8078773,183.7504,9.530993,1.253287,1.351727,47.24626,57.26756,4.555134,584.009740469711,579.8815,69.31683,246.826515836996,243.8797,23.35658,83.02164,84.52942,57.31535,5.230866
0.5999997,B,0.5999997,0.2620119,0.3646089,0.7358753,0.1876115,193.6979,9.44721,1.830295,0.4861001,47.03551,57.82465,4.904153,621.536253095877,614.8096,91.19468,307.270644116076,303.7893,31.45277,81.73161,84.08895,84.96955,7.95302
0.6999996,B,0.6999996,0.3176418,-0.580844,0.7248067,-0.1967244,203.8646,9.358889,2.646458,-0.7445093,46.82477,57.81592,4.995977,660.17371150042,650.2418,114.083,371.535314982898,367.2099,41.85769,80.66783,83.49702,118.8074,11.59968
0.7999995,B,0.7999995,0.3766798,-0.8247193,0.7269775,-0.3157853,214.2841,9.265924,3.727573,-1.671959,46.61402,57.70251,5.040221,699.794791965509,687.4491,130.8682,439.701440423163,434.2652,54.25817,80.15632,82.87823,159.1856,16.39191
0.8999994,B,0.8999994,0.4390356,-0.510504,0.7305816,-0.2132725,219.4913,9.168395,5.080614,-1.525843,46.40327,57.79988,5.180277,721.017455399694,708.4388,134.0919,511.46824502717,504.7861,67.73606,80.21778,82.35727,206.4723,22.48923
0.9999993,B,0.9999993,0.4982645,0.1376107,0.7353259,0.02944318,203.894,9.075404,6.573977,0.2694085,46.19253,57.98155,5.358647,667.787416377428,658.2048,112.723,578.865794133451,571.1152,79.73888,80.75114,82.05177,260.6213,29.87796
1.099999,B,1.099999,0.5567163,0.3720328,0.7443423,0.1418412,205.3502,8.984221,8.289863,1.61319,45.98178,57.8693,5.403417,673.840688690331,665.5745,105.2229,645.924142432249,637.3083,90.47813,81.00333,81.91977,321.3669,38.39443
1.199999,B,1.199999,0.6158945,0.04568994,0.7515464,0.03542563,207.8777,8.892193,10.21997,0.4910972,45.77103,57.97546,5.547469,683.402592938613,673.8279,113.9959,713.809533625568,704.3198,101.3372,80.69259,81.8125,388.7764,47.97719
1.299999,B,1.299999,0.6759639,-0.2183189,0.7644656,-0.08186186,210.7129,8.799004,12.4898,-1.361463,45.56029,57.92868,5.621997,693.30764314985,681.5366,127.2138,782.672743082226,772.0951,113.5711,80.35123,81.6321,462.9295,58.71183
1.399999,B,1.399999,0.736973,0.04283603,0.7689306,0.002748537,213.947,8.704487,14.89026,0.05411519,45.34954,58.00872,5.754172,704.062527209764,693.389,122.13,852.57265157428,840.8594,126.1689,80.5344,81.46657,543.9106,70.70396
1.499999,B,1.499999,0.7989962,0.1005072,0.7666212,0.04503918,217.2024,8.608548,17.3954,1.037993,45.13879,57.96571,5.830416,714.984414369104,705.0103,119.0092,923.578579845859,910.8691,138.0221,80.5843,81.38364,631.8376,83.91534
1.599999,B,1.599999,0.8618855,-0.09883396,0.8082978,-0.03671457,220.6405,8.511166,21.27035,-0.9803118,44.92804,57.97406,5.930007,722.088670132554,710.0592,131.2554,995.474762337608,981.6532,150.6388,80.34233,81.27577,726.8137,98.33749
1.699999,B,1.699999,0.925357,0.07187887,0.8700039,0.02191049,224.1149,8.412289,26.2948,0.6712992,44.7173,58.18161,6.120144,724.850899017536,714.1378,124.1613,1067.92627317957,1052.959,163.4981,80.46799,81.17389,828.8966,114.0516
1.799999,B,1.799999,0.9887533,-0.04434417,0.9773338,-0.01025133,227.617,8.311893,33.59385,-0.3568572,44.50655,58.67795,6.441545,719.39525143348,707.733,129.0098,1140.13339417407,1124.074,176.0177,80.32767,81.10037,938.1093,131.0218
1.899999,B,1.899999,1.051592,0.0361907,1.08034,0.007208585,231.1606,8.209962,41.83039,0.2824154,44.2958,59.14515,6.749701,710.273656974162,699.1669,125.1172,1211.5866749914,1194.365,188.8847,80.36424,81.0133,1054.39,149.2716
1.999998,B,1.999998,1.114347,-0.02860181,1.054025,-0.005694449,234.3636,8.106555,45.62561,-0.2492757,44.08506,59.00171,6.780299,717.443298317923,705.6733,129.4221,1283.02007020551,1264.685,201.4604,80.27343,80.94901,1177.689,168.784
2.099998,B,2.099998,1.177756,0.03168751,1.02727,0.007964488,237.2005,8.00183,49.43963,0.3874334,43.87431,58.85265,6.808339,723.262512242312,711.8809,127.8055,1355.09969398008,1335.585,214.476,80.29625,80.877,1308.052,189.5836
2.199998,B,2.199998,1.241848,-0.02658925,0.9965088,-0.008141854,240.3743,7.89586,53.05698,-0.4379719,43.66356,58.73783,6.851943,731.669142313088,719.3439,133.7314,1427.88974913269,1407.208,227.4762,80.20982,80.81753,1445.544,211.6748
2.299998,B,2.299998,1.306713,0.01927553,0.9667133,0.007828771,243.2449,7.788616,56.68991,0.4636461,43.45282,58.64001,6.903271,738.949694141766,727.2455,130.9986,1501.45218822937,1479.575,240.7052,80.22649,80.75977,1590.239,235.0875
2.399998,B,2.399998,1.372358,0.001299651,0.9392142,-0.002215995,246.1951,7.680123,60.41508,-0.1439045,43.24207,58.58558,6.974322,746.645393964665,734.1984,135.7647,1575.80009204958,1552.693,254.1987,80.17722,80.70232,1742.212,259.8284
2.499998,B,2.499998,1.438786,-0.01405673,0.9148909,-0.00307619,249.319,7.570363,64.31013,-0.2182241,43.03132,58.48376,7.023837,754.662191119212,741.9559,137.9002,1650.93030090794,1626.601,267.7128,80.13738,80.65381,1901.54,285.9212
2.599998,B,2.599998,1.505941,0.0120624,0.8932442,0.005089432,252.1814,7.459373,68.36693,0.3929905,42.82057,58.37959,7.072278,761.160591910078,748.8307,136.4479,1726.75164378953,1701.166,281.4811,80.13657,80.60476,2068.295,313.3838
2.699998,B,2.699998,1.573772,0.00857311,0.8741592,0.0009095771,255.0755,7.347187,72.60128,0.07618991,42.60983,58.28624,7.125643,767.42703944334,754.6346,139.5381,1803.21266225887,1776.345,295.4499,80.10551,80.55675,2242.542,342.2277
2.799998,B,2.799998,1.642272,-0.00912499,0.8575936,-0.003710929,255.5773,7.233779,77.04015,-0.3360838,42.39908,58.18523,7.175525,762.485487105328,749.3065,141.152,1880.18769591179,1852.037,309.4669,80.06371,80.51378,2424.34,372.4696
