# Simulation 5 (Up to date)
# 1228 data points written for 2 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (86.5 ft/s)
#
# Time (s),Vertical acceleration (m/s²)
0,0
0.007,291.004
0.014,433.282
0.021,523.274
0.027,568.329
0.034,570.879
0.041,558.343
0.048,563.589
0.055,559.732
0.061,566.375
0.068,574.144
0.075,576.339
0.082,588.064
0.089,595
0.095,598.969
0.099,597.417
0.102,596.463
0.106,592.475
0.109,589.457
0.116,643.429
0.123,630.09
0.129,632.776
0.136,639.096
0.143,638.101
0.15,639.484
0.157,647.723
0.163,645.78
0.17,648.394
0.177,652.842
0.184,661.141
0.19,663.816
0.197,670.226
0.204,674.559
0.211,679.617
0.218,684.688
0.224,691.034
0.231,694.656
0.238,696.242
0.245,700.396
0.252,704.85
0.258,707.487
0.265,712.092
0.272,717.378
0.279,719.504
0.286,725.858
0.292,727.542
0.299,731.969
0.306,736.177
0.313,740.788
0.32,745.679
0.326,747.165
0.333,749.267
0.34,753.428
0.347,757.37
0.354,759.48
0.36,764.051
0.367,765.263
0.374,769.299
0.381,774.08
0.387,778.351
0.394,781.719
0.401,786.779
0.408,789.062
0.415,792.305
0.421,794.576
0.428,796.512
0.435,800.62
0.442,804.391
0.449,805.165
0.455,806.408
0.462,808.475
0.469,810.868
0.476,814.079
0.483,817.708
0.489,819.789
0.496,819.25
0.503,819.742
0.51,821.775
0.517,826.085
0.523,828.588
0.53,832.988
0.537,832.795
0.544,836.714
0.551,839.233
0.557,843.173
0.564,847.499
0.571,848.774
0.578,853.334
0.584,855.933
0.591,859.88
0.598,863.445
0.605,867.477
0.612,871.1
0.618,872.846
0.625,872.837
0.632,874.243
0.639,878.086
0.646,881.298
0.652,883.39
0.659,883.599
0.666,886.464
0.673,887.254
0.68,888.641
0.686,890.928
0.693,895.572
0.7,896.402
0.707,894.266
0.714,894.75
0.72,892.325
0.727,894.452
0.734,897.319
0.741,897.205
0.748,897.119
0.754,898.794
0.761,898.472
0.768,899.915
0.775,903.022
0.781,902.202
0.788,903.016
0.795,901.708
0.802,900.506
0.809,897.349
0.815,898.313
0.822,898.184
0.829,896.843
0.836,895.165
0.843,892.841
0.849,891.83
0.856,889.927
0.863,889.378
0.87,886.264
0.877,882.242
0.883,876.327
0.89,873.605
0.897,871.71
0.904,869.611
0.911,864.443
0.917,860.836
0.924,854.94
0.931,847.675
0.938,839.576
0.945,830.616
0.951,821.606
0.958,810.43
0.965,795.794
0.972,779.662
0.978,762.915
0.985,743.046
0.992,720.915
0.999,695.888
1.006,667.05
1.012,637.657
1.019,607.545
1.026,575.963
1.033,544.613
1.04,511.505
1.046,478.578
1.053,445.589
1.06,413.753
1.067,380.742
1.074,349.164
1.08,319.953
1.087,294.564
1.094,271.464
1.101,251.609
1.108,233.779
1.114,218.478
1.121,204.227
1.128,191.699
1.135,180.428
1.142,168.641
1.148,158.132
1.155,147.553
1.162,139.184
1.169,133.581
1.175,125.452
1.182,119.677
1.189,113.839
1.196,108.439
1.203,103.111
1.209,99.213
1.216,94.441
1.223,89.103
1.23,84.276
1.237,79.383
1.243,74.587
1.25,71.011
1.257,66.31
1.264,62.494
1.271,59.63
1.277,56.498
1.284,53.603
1.291,51.02
1.298,48.633
1.305,45.143
1.311,41.476
1.318,38.08
1.325,34.353
1.332,31.232
1.339,26.966
1.345,22.599
1.352,18.616
1.359,14.87
1.366,9.623
1.372,5.036
1.379,-0.121
1.386,-4.885
1.393,-10.204
1.4,-13.666
1.406,-19.38
1.413,-24.887
1.42,-30.645
1.427,-36.24
1.434,-41.412
1.44,-46.933
1.447,-51.808
1.454,-57.332
1.461,-62.68
1.468,-64.191
1.474,-72.997
1.481,-79.475
1.488,-83.658
1.495,-89.308
1.502,-94.117
1.508,-100.182
1.515,-105.65
1.522,-110.256
1.529,-113.433
1.536,-118.659
1.542,-124.127
1.549,-129.085
1.556,-133.453
1.563,-137.707
1.57,-140.629
1.576,-143.869
1.583,-147.482
1.59,-151.033
1.597,-155.604
1.603,-158.77
1.61,-160.922
1.617,-163.673
1.624,-164.791
1.631,-167.177
1.637,-169.97
1.644,-173.683
1.651,-177.163
1.658,-180.776
1.665,-183.006
1.671,-184.788
1.678,-186.994
1.688,-224.373
1.703,-222.964
1.725,-220.874
1.759,-217.741
1.809,-213.276
1.859,-208.914
1.909,-204.669
1.959,-200.565
2.009,-196.599
2.058,-192.776
2.108,-188.912
2.14,-186.617
2.174,-184.095
