# Simulation 1 (Up to date)
# 1397 data points written for 4 variables.
# Simulation warnings:
#   Listeners modified the flight simulation
#   Body calculations may not be entirely accurate at supersonic speeds.
#
# Time (s),Longitudinal moment of inertia (kg·m²),Corrective moment coefficient (),Damping moment coefficient (​)
0.01,0.03,5.777e4,NaN
0.02,0.03,5.777e4,NaN
0.03,0.03,5.777e4,0.044
0.04,0.03,5.777e4,0.055
0.05,0.03,5.777e4,0.07
0.058,0.029,5.777e4,0.082
0.064,0.029,5.778e4,0.092
0.07,0.029,5.778e4,0.102
0.075,0.029,5.778e4,0.11
0.079,0.029,5.778e4,0.118
0.084,0.029,5.778e4,0.126
0.087,0.029,5.778e4,0.133
0.091,0.029,5.779e4,0.144
0.097,0.029,5.779e4,0.16
0.105,0.029,5.779e4,0.184
0.118,0.029,5.78e4,0.221
0.137,0.029,5.781e4,0.27
0.162,0.029,5.783e4,0.322
0.188,0.029,5.786e4,0.403
0.227,0.029,5.79e4,0.475
0.26,0.029,5.794e4,0.501
0.272,0.028,5.796e4,0.524
0.282,0.028,5.798e4,0.546
0.292,0.028,5.8e4,0.57
0.303,0.028,5.801e4,0.6
0.317,0.028,5.804e4,0.648
0.338,0.028,5.808e4,0.703
0.36,0.028,5.812e4,0.725
0.369,0.028,5.814e4,0.744
0.377,0.028,5.816e4,0.765
0.385,0.028,5.818e4,0.789
0.396,0.028,5.82e4,0.827
0.411,0.028,5.824e4,0.888
0.434,0.028,5.83e4,0.91
0.442,0.028,5.832e4,0.93
0.449,0.028,5.834e4,0.953
0.458,0.028,5.836e4,0.989
0.471,0.027,5.839e4,1.054
0.49,0.027,5.845e4,1.08
0.497,0.027,5.847e4,1.105
0.504,0.027,5.849e4,1.134
0.512,0.027,5.852e4,1.179
0.523,0.027,5.855e4,1.257
0.54,0.027,5.861e4,1.289
0.547,0.027,5.863e4,1.32
0.553,0.027,5.865e4,1.356
0.56,0.027,5.867e4,1.413
0.571,0.027,5.871e4,1.504
0.588,0.027,5.877e4,1.537
0.594,0.027,5.879e4,1.576
0.601,0.027,5.882e4,1.635
0.612,0.027,5.886e4,1.691
0.623,0.027,5.89e4,1.721
0.629,0.027,5.892e4,1.753
0.636,0.027,5.895e4,1.799
0.647,0.026,5.899e4,1.832
0.656,0.026,5.903e4,1.85
0.662,0.026,5.905e4,1.866
0.669,0.026,5.908e4,1.882
0.681,0.026,5.913e4,1.885
0.688,0.026,5.916e4,1.879
0.695,0.026,5.919e4,1.862
0.705,0.026,5.923e4,1.837
0.72,0.026,5.93e4,1.819
0.729,0.026,5.934e4,1.792
0.744,0.026,5.94e4,1.777
0.755,0.026,5.945e4,1.756
0.772,0.026,5.953e4,1.734
0.786,0.026,5.96e4,1.711
0.809,0.026,5.971e4,1.677
0.842,0.025,5.988e4,1.668
0.854,0.025,5.995e4,1.653
0.873,0.025,6.005e4,1.638
0.895,0.025,6.017e4,1.616
0.928,0.025,6.036e4,1.611
0.977,0.025,6.066e4,1.598
0.98,0.025,6.068e4,1.594
0.982,0.025,6.07e4,1.594
0.985,0.025,6.071e4,1.596
0.987,0.025,6.073e4,1.598
0.99,0.025,6.074e4,1.6
0.992,0.025,6.076e4,1.601
0.995,0.025,6.078e4,1.601
0.997,0.025,6.079e4,1.6
1,0.025,6.081e4,1.597
1.002,0.025,6.082e4,1.593
1.005,0.025,6.084e4,1.589
1.007,0.025,6.086e4,1.585
1.01,0.025,6.087e4,1.583
1.012,0.025,6.089e4,1.585
1.015,0.025,6.091e4,1.587
1.017,0.024,6.092e4,1.588
1.02,0.024,6.094e4,1.589
1.022,0.024,6.096e4,1.591
1.025,0.024,6.097e4,1.59
1.027,0.024,6.099e4,1.587
1.03,0.024,6.101e4,1.584
1.032,0.024,6.102e4,1.58
1.035,0.024,6.104e4,1.577
1.037,0.024,6.106e4,1.575
1.04,0.024,6.107e4,1.576
1.043,0.024,6.109e4,1.578
1.046,0.024,6.111e4,1.58
1.048,0.024,6.113e4,1.581
1.051,0.024,6.114e4,1.58
1.053,0.024,6.116e4,1.579
1.056,0.024,6.118e4,1.577
1.058,0.024,6.119e4,1.574
1.061,0.024,6.121e4,1.571
1.063,0.024,6.123e4,1.57
1.066,0.024,6.124e4,1.57
1.069,0.024,6.126e4,1.572
1.072,0.024,6.129e4,1.574
1.074,0.024,6.13e4,1.576
1.077,0.024,6.132e4,1.576
1.079,0.024,6.134e4,1.576
1.082,0.024,6.135e4,1.574
1.084,0.024,6.137e4,1.572
1.087,0.024,6.139e4,1.569
1.089,0.024,6.14e4,1.567
1.092,0.024,6.142e4,1.566
1.095,0.024,6.144e4,1.569
1.098,0.024,6.147e4,1.571
1.101,0.024,6.148e4,1.572
1.103,0.024,6.15e4,1.573
1.106,0.024,6.152e4,1.573
1.108,0.024,6.153e4,1.572
1.111,0.024,6.155e4,1.57
1.113,0.024,6.157e4,1.568
1.116,0.024,6.158e4,1.566
1.118,0.024,6.16e4,1.564
1.121,0.024,6.162e4,1.565
1.125,0.024,6.165e4,1.567
1.128,0.024,6.167e4,1.568
1.131,0.024,6.169e4,1.57
1.133,0.024,6.17e4,1.571
1.136,0.024,6.172e4,1.57
1.138,0.024,6.174e4,1.569
1.141,0.024,6.175e4,1.567
1.143,0.024,6.177e4,1.565
1.146,0.024,6.179e4,1.563
1.149,0.024,6.181e4,1.565
1.154,0.024,6.184e4,1.567
1.157,0.024,6.186e4,1.568
1.159,0.024,6.188e4,1.569
1.162,0.024,6.189e4,1.569
1.164,0.024,6.191e4,1.568
1.167,0.024,6.193e4,1.567
1.169,0.024,6.194e4,1.566
1.172,0.024,6.196e4,1.564
1.174,0.024,6.198e4,1.563
1.178,0.024,6.2e4,1.564
1.181,0.024,6.202e4,1.567
1.184,0.024,6.204e4,1.569
1.187,0.024,6.206e4,1.569
1.189,0.024,6.208e4,1.569
1.192,0.024,6.209e4,1.569
1.194,0.024,6.211e4,1.568
1.197,0.024,6.213e4,1.566
1.199,0.024,6.214e4,1.564
1.202,0.024,6.216e4,1.564
1.207,0.024,6.219e4,1.567
1.212,0.024,6.223e4,1.568
1.214,0.024,6.224e4,1.569
1.217,0.024,6.226e4,1.569
1.219,0.024,6.228e4,1.568
1.222,0.024,6.229e4,1.567
1.224,0.024,6.231e4,1.566
1.227,0.024,6.233e4,1.564
1.23,0.024,6.235e4,1.564
1.235,0.024,6.238e4,1.567
1.24,0.024,6.241e4,1.568
1.243,0.024,6.243e4,1.568
1.245,0.024,6.245e4,1.568
1.248,0.024,6.246e4,1.567
1.25,0.024,6.248e4,1.566
1.253,0.024,6.25e4,1.564
1.256,0.024,6.252e4,1.563
1.261,0.024,6.255e4,1.565
1.268,0.024,6.259e4,1.566
1.271,0.024,6.261e4,1.567
1.273,0.024,6.263e4,1.567
1.276,0.024,6.264e4,1.566
1.279,0.024,6.266e4,1.565
1.282,0.024,6.268e4,1.564
1.285,0.024,6.271e4,1.564
1.291,0.024,6.274e4,1.567
