# Simulation 1 (Up to date)
# 1591 data points written for 57 variables.
# Simulation warnings:
#   Listeners modified the flight simulation
#   Body calculations may not be entirely accurate at supersonic speeds.
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (G),Total velocity (ft/s),Total acceleration (G),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (G),Latitude (°),Longitude (°),Gravitational acceleration (G),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (G),Reference length (in),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°C),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s),Corrective moment coefficient (),Damping moment coefficient (​),damping ratio ()
0.01,0.016,3.274,10.186,3.274,10.186,0,0,0,0,0,0,28.61,-80.6,0.998,63.083,0,0,0,908.469,596.651,0.036,2.464e-4,NaN,21.215,NaN,0.007,1.067e5,99.643,4.782e-4,0.763,0.144,0.639,0.004,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.303e-5,1.575,12.57,90,0,6.449,7.075,875.429,1101.005,0.01,7.468e-4,5.777e4,NaN,NaN
0.02,0.102,13.758,32.611,13.758,32.611,0,0,0,0,0,0,28.61,-80.6,0.998,24.936,0,0,0,906.92,595.102,0.035,2.461e-4,NaN,21.21,NaN,0.014,2.238e5,298.93,0.012,0.657,0.802,0.533,0.004,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.475e-5,1.575,12.57,90,0,6.397,7.075,875.426,1101.005,0.01,0.001,5.777e4,NaN,NaN
0.03,0.328,31.474,55.111,31.474,55.111,0,0,0,0,0,0,28.61,-80.6,0.998,11.396,0,0,0,905.371,593.553,0.035,2.458e-4,NaN,21.205,NaN,0.029,4.735e5,498.217,0.046,0.575,0.704,0.451,0.004,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.253e-4,1.575,12.57,90,0,6.344,7.075,875.418,1101.004,0.01,0.002,5.777e4,0.055,NaN
0.04,0.75,53.097,67.32,53.097,67.32,0,0,0,0,0,0,28.61,-80.6,0.998,6.758,0,0,0,902.239,590.421,0.035,2.452e-4,NaN,21.195,NaN,0.049,7.885e5,604.585,0.11,0.549,0.606,0.425,0.004,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.113e-4,1.575,12.57,90,0,6.292,7.074,875.405,1101.003,0.01,0.002,5.777e4,0.062,NaN
0.048,1.213,69.589,68.133,69.589,68.133,0,0,0,0,0,0,28.61,-80.6,0.998,5.134,0,0,0,899.863,588.046,0.035,2.448e-4,NaN,21.187,NaN,0.063,1.03e6,610.242,0.182,0.549,0.585,0.424,0.004,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.769e-4,1.575,12.57,90,0,6.252,7.073,875.39,1101.001,0.008,0.003,5.777e4,0.076,NaN
0.053,1.649,82.161,68.051,82.161,68.051,0,0,0,0,0,0,28.61,-80.6,0.998,4.343,0,0,0,898.051,586.233,0.035,2.445e-4,NaN,21.181,NaN,0.075,1.215e6,608.359,0.249,0.549,0.576,0.424,0.004,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.27e-4,1.575,12.57,90,0,6.24,7.072,875.376,1100.999,0.006,0.003,5.777e4,0.087,NaN
0.058,2.075,92.802,67.991,92.802,67.991,0,0,0,0,0,0,28.61,-80.6,0.998,3.848,0,0,0,896.516,584.699,0.035,2.442e-4,NaN,21.176,NaN,0.084,1.372e6,606.855,0.314,0.55,0.571,0.424,0.004,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.693e-4,1.575,12.57,90,0,6.241,7.071,875.362,1100.997,0.005,0.003,5.777e4,0.098,NaN
0.062,2.495,102.221,67.972,102.221,67.972,0,0,0,0,0,0,28.61,-80.6,0.998,3.495,0,0,0,895.157,583.339,0.035,2.44e-4,NaN,21.172,NaN,0.093,1.51e6,605.831,0.378,0.55,0.568,0.424,0.004,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.068e-4,1.575,12.57,90,0,6.243,7.07,875.348,1100.996,0.004,0.004,5.778e4,0.107,NaN
0.066,2.912,110.789,68.094,110.789,68.094,0,0,0,0,0,0,28.61,-80.6,0.998,3.226,0,0,0,893.922,582.104,0.035,2.437e-4,NaN,21.168,NaN,0.101,1.636e6,606.135,0.442,0.55,0.565,0.424,0.004,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.409e-4,1.575,12.57,90,0,6.244,7.069,875.335,1100.994,0.004,0.004,5.778e4,0.116,NaN
0.07,3.326,118.709,68.223,118.709,68.223,0,0,0,0,0,0,28.61,-80.6,0.998,3.011,0,0,0,892.783,580.965,0.035,2.435e-4,NaN,21.164,NaN,0.108,1.753e6,606.556,0.506,0.55,0.564,0.424,0.004,0.122,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.724e-4,1.575,12.57,90,0,6.245,7.069,875.321,1100.992,0.004,0.005,5.778e4,0.124,NaN
