# Simulation 1 (Up to date)
# 5571 data points written for 54 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Forward end of airframe is open (radius is > 0):  "Transition"
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (G),Total velocity (ft/s),Total acceleration (G),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (G),Latitude (°),Longitude (°),Gravitational acceleration (G),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (G),Reference length (in),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°C),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
0.01,0.002,0.433,1.347,0.433,1.347,0,0,0,0,0,0,28.61,-80.6,0.998,86.275,0,0,0,9357.502,6388.374,3.076,0.005,NaN,50.095,NaN,0.006,2.582e5,215.2,5.24e-6,0.721,4.792e-4,0.498,0.103,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.724e-6,3.098,48.632,90,0,6.655,7.075,875.429,1101.005,0.01,0.021
0.02,0.016,2.376,6.039,2.376,6.039,0,0,0,0,0,0,28.61,-80.6,0.998,70.387,0,0,0,9354.604,6385.476,3.075,0.005,NaN,50.091,NaN,0.006,2.74e5,645.579,7.088e-4,0.715,0.058,0.492,0.103,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.455e-6,3.098,48.632,90,0,6.667,7.075,875.429,1101.005,0.01,0.024
0.03,0.057,5.829,10.734,5.829,10.734,0,0,0,0,0,0,28.61,-80.6,0.998,48.893,0,0,0,9351.706,6382.578,3.075,0.005,NaN,50.087,NaN,0.008,3.432e5,1075.958,0.007,0.69,0.37,0.467,0.103,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.32e-5,3.098,48.632,90,0,6.68,7.075,875.427,1101.005,0.01,0.026
0.04,0.137,10.049,13.12,10.049,13.12,0,0,0,0,0,0,28.61,-80.6,0.998,33.665,0,0,0,9345.872,6376.745,3.074,0.005,NaN,50.079,NaN,0.011,4.674e5,1293.933,0.024,0.66,0.664,0.437,0.103,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.999e-5,3.098,48.632,90,0,6.693,7.075,875.425,1101.005,0.01,0.027
0.05,0.258,14.291,13.189,14.291,13.189,0,0,0,0,0,0,28.61,-80.6,0.998,25.137,0,0,0,9340.039,6370.911,3.073,0.005,NaN,50.071,NaN,0.014,6.111e5,1299.502,0.047,0.636,0.774,0.413,0.103,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.687e-5,3.098,48.632,90,0,6.705,7.075,875.421,1101.004,0.01,0.028
0.06,0.423,18.555,13.258,18.555,13.258,0,0,0,0,0,0,28.61,-80.6,0.998,19.837,0,0,0,9334.205,6365.078,3.072,0.005,NaN,50.063,NaN,0.018,7.636e5,1305.072,0.076,0.617,0.795,0.394,0.103,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.384e-5,3.098,48.632,90,0,6.694,7.074,875.415,1101.004,0.01,0.03
0.07,0.63,22.842,13.328,22.842,13.328,0,0,0,0,0,0,28.61,-80.6,0.998,16.306,0,0,0,9328.297,6359.169,3.071,0.005,NaN,50.055,NaN,0.022,9.213e5,1310.647,0.109,0.603,0.782,0.38,0.103,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.09e-5,3.098,48.632,90,0,6.682,7.074,875.409,1101.003,0.01,0.031
0.08,0.879,27.151,13.398,27.151,13.398,0,0,0,0,0,0,28.61,-80.6,0.998,13.803,0,0,0,9322.389,6353.261,3.07,0.005,NaN,50.047,NaN,0.025,1.082e6,1316.228,0.144,0.591,0.751,0.368,0.103,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.08e-4,3.098,48.632,90,0,6.67,7.073,875.401,1101.002,0.01,0.032
0.09,1.173,31.483,13.467,31.483,13.467,0,0,0,0,0,0,28.61,-80.6,0.998,11.942,0,0,0,9316.48,6347.353,3.069,0.005,NaN,50.039,NaN,0.029,1.246e6,1321.809,0.183,0.581,0.718,0.358,0.103,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.253e-4,3.098,48.632,90,0,6.659,7.073,875.391,1101.001,0.01,0.033
0.1,1.509,35.837,13.54,35.837,13.54,0,0,0,0,0,0,28.61,-80.6,0.998,10.508,0,0,0,9310.493,6341.366,3.068,0.005,NaN,50.031,NaN,0.033,1.411e6,1327.635,0.225,0.572,0.688,0.349,0.103,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.426e-4,3.098,48.632,90,0,6.647,7.072,875.38,1101,0.01,0.035
