Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.9348169537584859453189914529,0.934816953758486,0.896103786822376,0.934816953758486,0.896103786822376,0,0,0,0,18.949801879998505505000566827,31.792847094370030145234186709,30.881849521830185063931809083,229353.2
0.02,0,0.8050344876388762106867804880,0.805034487638876,0.766321320702766,0.805034487638876,0.766321320702766,0,0,0,0,18.949801879998505505000566827,31.792847094370030145234186709,30.881849521830185063931809083,458706.4
0.03,0,0.7412686775816918382207914882,0.741268677581692,0.702555510645582,0.741268677581692,0.702555510645582,0,0,0,0,18.949801879998505505000566827,31.792847094370030145234186709,30.881849521830185063931809083,688059.6
0.04,0,0.7005487532914960929820907828,0.700548753291496,0.661835586355386,0.700548753291496,0.661835586355386,0,0,0,0,18.949801879998505505000566827,31.792847094370030145234186709,30.881849521830185063931809083,917412.8
0.05,0,0.6712642703188590369428117667,0.671264270318859,0.632551103382749,0.671264270318859,0.632551103382749,0,0,0,0,18.949801879998505505000566827,31.792847094370030145234186709,30.881849521830185063931809083,1146766
0.06,0,0.6487061904025544271373826790,0.648706190402554,0.609993023466445,0.648706190402554,0.609993023466445,0,0,0,0,18.949801879998505505000566827,31.792847094370030145234186709,30.881849521830185063931809083,1376119
0.07,0,0.6305309950652086367398887735,0.630530995065209,0.591817828129099,0.630530995065209,0.591817828129099,0,0,0,0,18.949801879998505505000566827,31.792847094370030145234186709,30.881849521830185063931809083,1605472
0.08,0,0.6154150679683630116811053756,0.615415067968363,0.576701901032253,0.615415067968363,0.576701901032253,0,0,0,0,18.949801879998505505000566827,31.792847094370030145234186709,30.881849521830185063931809083,1834826
0.09,0,0.6025433687468906653535730165,0.602543368746891,0.563830201810781,0.602543368746891,0.563830201810781,0,0,0,0,18.949801879998505505000566827,31.792847094370030145234186709,30.881849521830185063931809083,2064179
0.10,0,0.5913807918988293152999729682,0.591380791898829,0.552667624962719,0.591380791898829,0.552667624962719,0,0,0,0,18.949801879998505505000566827,31.792847094370030145234186709,30.881849521830185063931809083,2293532
0.11,0,0.5815585185208823937562209054,0.581558518520882,0.542845351584772,0.581558518520882,0.542845351584772,0,0,0,0,18.949801879998505505000566827,31.792847094370030145234186709,30.881849521830185063931809083,2522885
0.12,0,0.5728128266776039108089075733,0.572812826677604,0.534099659741494,0.572812826677604,0.534099659741494,0,0,0,0,18.949801879998505505000566827,31.792847094370030145234186709,30.881849521830185063931809083,2752238
0.13,0,0.5649484043499629551064832210,0.564948404349963,0.526235237413853,0.564948404349963,0.526235237413853,0,0,0,0,18.949801879998505505000566827,31.792847094370030145234186709,30.881849521830185063931809083,2981592
0.14,0,0.5578173841711242165221987015,0.557817384171124,0.519104217235014,0.557817384171124,0.519104217235014,0,0,0,0,18.949801879998505505000566827,31.792847094370030145234186709,30.881849521830185063931809083,3210945
0.15,0,0.5513054181101646889219260152,0.551305418110165,0.512592251174055,0.551305418110165,0.512592251174055,0,0,0,0,18.949801879998505505000566827,31.792847094370030145234186709,30.881849521830185063931809083,3440298
0.16,0,0.5453219629351666736482810188,0.545321962935167,0.506608795999057,0.545321962935167,0.506608795999057,0,0,0,0,18.949801879998505505000566827,31.792847094370030145234186709,30.881849521830185063931809083,3669651
0.17,0,0.5397945582688907319417094759,0.539794558268891,0.501081391332781,0.539794558268891,0.501081391332781,0,0,0,0,18.949801879998505505000566827,31.792847094370030145234186709,30.881849521830185063931809083,3899004
0.18,0,0.5346641117317226849352124255,0.534664111731723,0.495950944795613,0.534664111731723,0.495950944795613,0,0,0,0,18.949801879998505505000566827,31.792847094370030145234186709,30.881849521830185063931809083,4128358
0.19,0,0.5298820905472303122960336270,0.52988209054723,0.49116892361112,0.52988209054723,0.49116892361112,0,0,0,0,18.949801879998505505000566827,31.792847094370030145234186709,30.881849521830185063931809083,4357711
0.20,0,0.5254080401268240587935927740,0.525408040126824,0.486694873190714,0.525408040126824,0.486694873190714,0,0,0,0,18.949801879998505505000566827,31.792847094370030145234186709,30.881849521830185063931809083,4587064
0.21,0,0.5212082168865711398087887106,0.521208216886571,0.482495049950461,0.521208216886571,0.482495049950461,0,0,0,0,18.949801879998505505000566827,31.792847094370030145234186709,30.881849521830185063931809083,4816417
0.22,0,0.5172533651445412108882518360,0.517253365144541,0.478540198208431,0.517253365144541,0.478540198208431,0,0,0,0,18.949801879998505505000566827,31.792847094370030145234186709,30.881849521830185063931809083,5045770
0.23,0,0.5135190260396868947611553004,0.513519026039687,0.474805859103577,0.513519026039687,0.474805859103577,0,0,0,0,18.949801879998505505000566827,31.792847094370030145234186709,30.881849521830185063931809083,5275124
0.24,0,0.5099839795437300632053569720,0.50998397954373,0.47127081260762,0.50998397954373,0.47127081260762,0,0,0,0,18.949801879998505505000566827,31.792847094370030145234186709,30.881849521830185063931809083,5504477
0.25,0,0.5066298678893887106523535346,0.506629867889389,0.467916700953279,0.506629867889389,0.467916700953279,0,0,0,0,18.949801879998505505000566827,31.792847094370030145234186709,30.881849521830185063931809083,5733830
