# Simulation 6 (Up to date)
# 3595 data points written for 57 variables.
# Simulation warnings:
#   Listeners modified the flight simulation
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Forward end of airframe is open (radius is > 0):  "Transition"
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (G),Total velocity (ft/s),Total acceleration (G),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (G),Latitude (°),Longitude (°),Gravitational acceleration (G),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (G),Reference length (in),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°C),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s),Corrective moment coefficient (),Damping moment coefficient (​),damping ratio ()
0.01,0.002,0.429,1.335,0.429,1.335,0,0,0,0,0,0,28.61,-80.6,0.998,86.239,0,0,0,4439.811,2889.005,1.111,0.002,NaN,47.371,NaN,0.006,2.423e5,101.578,3.813e-6,0.985,6.738e-4,0.828,0.102,0.056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.708e-6,2.205,24.63,90,0,6.53,11.038,942.363,1108.883,0.01,0.001,5.29e4,NaN,NaN
0.02,0.016,2.36,6.002,2.36,6.002,0,0,0,0,0,0,28.61,-80.6,0.998,70.057,0,0,0,4438.399,2887.593,1.111,0.002,NaN,47.367,NaN,0.006,2.562e5,304.714,5.2e-4,0.975,0.082,0.817,0.102,0.056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.392e-6,2.205,24.63,90,0,6.505,11.038,942.363,1108.883,0.01,0.002,5.29e4,NaN,NaN
0.03,0.057,5.794,10.673,5.794,10.673,0,0,0,0,0,0,28.61,-80.6,0.998,48.198,0,0,0,4436.987,2886.18,1.111,0.002,NaN,47.363,NaN,0.008,3.218e5,507.85,0.005,0.934,0.52,0.776,0.102,0.056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.306e-5,2.205,24.63,90,0,6.479,11.037,942.361,1108.883,0.01,0.002,5.29e4,0.158,NaN
0.04,0.136,9.994,13.059,9.994,13.059,0,0,0,0,0,0,28.61,-80.6,0.998,32.855,0,0,0,4434.137,2883.33,1.11,0.002,NaN,47.355,NaN,0.011,4.405e5,611.278,0.017,0.882,0.908,0.724,0.102,0.056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.977e-5,2.205,24.63,90,0,6.454,11.037,942.359,1108.883,0.01,0.003,5.29e4,0.023,NaN
0.05,0.257,14.224,13.153,14.224,13.153,0,0,0,0,0,0,28.61,-80.6,0.998,24.321,0,0,0,4431.287,2880.48,1.11,0.002,NaN,47.346,NaN,0.014,5.779e5,615,0.033,0.841,1.036,0.684,0.102,0.056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.66e-5,2.205,24.63,90,0,6.429,11.037,942.355,1108.882,0.01,0.003,5.29e4,0.101,NaN
0.06,0.42,18.485,13.247,18.485,13.247,0,0,0,0,0,0,28.61,-80.6,0.998,19.308,0,0,0,4428.436,2877.63,1.11,0.002,NaN,47.338,NaN,0.018,7.252e5,618.721,0.053,0.816,1.054,0.658,0.102,0.056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.356e-5,2.205,24.63,90,0,6.476,11.037,942.349,1108.882,0.01,0.004,5.29e4,0.181,NaN
0.07,0.627,22.777,13.344,22.777,13.344,0,0,0,0,0,0,28.61,-80.6,0.998,15.983,0,0,0,4425.533,2874.727,1.109,0.002,NaN,47.33,NaN,0.021,8.772e5,622.512,0.077,0.797,1.034,0.639,0.102,0.056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.064e-5,2.205,24.63,90,0,6.524,11.036,942.342,1108.881,0.01,0.004,5.29e4,0.255,NaN
0.08,0.876,27.1,13.441,27.1,13.441,0,0,0,0,0,0,28.61,-80.6,0.998,13.63,0,0,0,4422.63,2871.824,1.109,0.002,NaN,47.321,NaN,0.025,1.032e6,626.37,0.102,0.782,0.992,0.624,0.102,0.056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.078e-4,2.205,24.63,90,0,6.571,11.036,942.333,1108.88,0.01,0.005,5.29e4,0.337,NaN
0.09,1.169,31.455,13.539,31.455,13.539,0,0,0,0,0,0,28.61,-80.6,0.998,11.883,0,0,0,4419.728,2868.921,1.108,0.002,NaN,47.313,NaN,0.029,1.19e6,630.229,0.13,0.769,0.949,0.611,0.102,0.056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.252e-4,2.205,24.63,90,0,6.619,11.035,942.323,1108.879,0.01,0.005,5.29e4,0.42,NaN
0.1,1.505,35.841,13.638,35.841,13.638,0,0,0,0,0,0,28.61,-80.6,0.998,10.537,0,0,0,4416.77,2865.964,1.108,0.002,NaN,47.304,NaN,0.033,1.35e6,634.134,0.16,0.758,0.912,0.6,0.102,0.056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.426e-4,2.205,24.63,90,0,6.667,11.035,942.312,1108.878,0.01,0.006,5.29e4,0.495,NaN
