Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,9.8,0,0,48.3,53.4502,2.39544,0,0,0,0,0,0,85,85,0,0
0.09999999,B,0.09999999,0.0338858,0,1.053327,0,146.2741,9.752609,0.04196949,0,48.12701,53.4502,2.475898,450.37911662154,448.412194091963,42.0458425820062,43.1521320816979,39.04783,3.697729,85,85,1.744013,0.1666557
0.2,B,0.2,0.07296601,9.81527,1.956363,5.382556,155.2167,9.685999,0.3613577,1.109972,47.95403,51.2647,1.539847,482.352159081907,480.5598,41.54376,88.607429319397,85.66031,7.992476,84.99648,84.66949,8.024485,0.7514434
0.3,B,0.3,0.1158028,6.093407,1.219229,3.096234,164.4381,9.615285,0.5670295,1.553128,47.78105,51.99725,1.961027,516.297309882198,514.4067,44.14362,138.217165893277,135.5664,12.26949,84.85412,84.82851,19.30733,1.762312
0.3999999,B,0.3999999,0.161905,3.96227,0.9625542,1.936231,173.9922,9.540323,0.8745511,1.864782,47.60806,52.45911,2.256303,551.769634695803,549.5003,49.9915,191.562023049786,188.9306,16.97233,84.45454,84.86669,35.77003,3.219435
0.4999998,B,0.4999998,0.2112598,2.368995,0.8380122,1.138282,183.7511,9.460994,1.295379,1.845757,47.43508,52.82714,2.507934,588.396476788084,585.2687,60.58847,248.639034084533,245.8435,22.50987,83.7691,84.76848,57.76377,5.184594
0.5999997,B,0.5999997,0.2639245,1.047352,0.7746881,0.5138053,193.6989,9.377211,1.867165,1.290037,47.26209,53.15222,2.739594,626.144190158769,621.4336,76.66047,309.512385233354,306.3575,29.40946,82.85969,84.51657,85.64656,7.767066
0.6999996,B,0.6999996,0.3199656,0.04270885,0.7527667,0.05324113,203.866,9.288889,2.663495,0.1952594,47.08911,53.41785,2.943602,665.039972812713,657.9991,96.51606,374.254128897681,370.5076,38.15302,81.92876,84.12069,119.7804,11.12866
0.7999995,B,0.7999995,0.3794576,-0.4602838,0.7543627,-0.1892384,214.2862,9.195925,3.748687,-0.9710498,46.91613,53.33686,2.986387,705.005280139801,695.601,114.768,442.944661764753,438.3661,48.85272,81.29449,83.64104,160.5323,15.464
0.8999994,B,0.8999994,0.4422957,-0.3850791,0.7609898,-0.1791325,219.494,9.098395,5.129287,-1.242177,46.74314,53.34277,3.069593,726.481707904198,716.2952,121.2306,515.265222035991,509.6961,60.8822,81.18337,83.18841,208.2738,20.94569
0.9999993,B,0.9999993,0.5019802,0.001446964,0.7671893,-0.01589934,203.8975,9.005404,6.648154,-0.1410128,46.57016,53.44049,3.195506,672.953656399161,664.5284,106.1538,583.180136138277,576.7104,71.9567,81.45901,82.8879,262.9526,27.59751
1.099999,B,1.099999,0.5608866,0.2086023,0.7763272,0.08883405,205.3546,8.914222,8.380873,0.9793434,46.39717,53.39638,3.255446,679.045052396768,671.5778,100.4263,650.75837938195,643.5096,82.19002,81.64879,82.7215,324.2913,35.30936
1.199999,B,1.199999,0.6205213,0.0483692,0.7850932,0.03116192,207.8831,8.822193,10.34888,0.4187481,46.22419,53.4312,3.352098,688.563874465296,680.4221,105.5745,719.16395624274,711.1452,92.42482,81.48428,82.59499,392.3546,44.03527
1.299999,B,1.299999,0.681041,-0.1013562,0.7992746,-0.04268578,210.7195,8.729004,12.65783,-0.6881328,46.0512,53.42419,3.429294,698.337496310008,688.9753,113.9662,788.539393388604,779.6366,103.4873,81.2808,82.43888,467.229,53.82392
1.399999,B,1.399999,0.7425039,0.011917,0.8032516,-0.001479442,213.9547,8.634487,15.07701,-0.02823342,45.87822,53.44929,3.521428,709.29154133598,700.2594,112.8329,858.956505948489,849.128,114.8982,81.33609,82.29393,549.0049,64.74464
1.499999,B,1.499999,0.8049902,0.05273722,0.8050114,0.02563764,217.2115,8.538548,17.70469,0.5726783,45.70523,53.43454,3.595027,719.936104665852,711.21,111.7512,930.485286631304,919.784,126.0434,81.35477,82.19702,637.7946,76.79237
1.599999,B,1.599999,0.8683009,-0.03734906,0.8502603,-0.0144101,220.651,8.441166,21.68317,-0.372867,45.53225,53.44137,3.67866,726.649700200674,716.9827,118.1338,1002.85455561526,991.2324,137.5653,81.23129,82.09884,733.698,89.96716
1.699999,B,1.699999,0.9321517,0.01588072,0.9272906,0.003535018,224.1268,8.342289,27.15375,0.1049308,45.35927,53.54963,3.80947,727.903369588471,718.4868,116.7049,1075.71820216453,1063.134,149.3902,81.24334,82.00124,836.7742,104.3167
1.799999,B,1.799999,0.9955989,0.007255089,1.080635,0.00522362,227.6304,8.241894,35.95699,0.1760003,45.18628,53.74881,3.982569,716.470287163487,707.1323,115.2978,1147.91519092671,1134.408,160.9084,81.20909,81.92682,947.0172,119.8323
1.899999,B,1.899999,1.057935,-0.009404433,1.208359,-0.004830981,231.1756,8.139962,45.20942,-0.1828499,45.0133,53.90144,4.134017,703.32540000101,693.7133,115.8813,1218.74248522832,1204.282,172.5147,81.15566,81.84779,1064.313,136.5033
1.999998,B,1.999998,1.120044,0.01373463,1.180524,0.005911721,234.3801,8.036555,49.28616,0.2495482,44.84032,53.76552,4.151259,709.253342685673,699.8458,115.1354,1289.41557448961,1274.013,184.0343,81.14889,81.78034,1188.572,154.3315
2.099998,B,2.099998,1.182703,-0.007983211,1.152082,-0.00348142,237.2182,7.93183,53.37806,-0.1630067,44.66733,53.62555,4.166613,713.993436338521,704.1125,118.3732,1360.61626107168,1344.248,195.7437,81.09576,81.71507,1319.832,173.3175
2.199998,B,2.199998,1.24594,0.00895952,1.120171,0.003854474,240.3932,7.82586,57.31085,0.1992049,44.49435,53.50411,4.190588,720.945589883072,711.1993,118.1444,1432.40504247366,1415.061,207.5609,81.08374,81.65537,1458.146,193.4832
2.299998,B,2.299998,1.309818,-0.00344096,1.089991,-0.001791456,243.2647,7.718616,61.30742,-0.1017422,44.32136,53.56053,4.297286,726.744301103628,716.6082,120.9544,1504.81360423056,1486.475,219.5437,81.04247,81.59849,1603.576,214.836
2.399998,B,2.399998,1.374328,0.003617313,1.062443,0.001978391,246.2158,7.610124,65.42485,0.1229677,44.14838,53.56794,4.381191,732.608957056252,722.5127,121.2076,1577.83871175536,1558.496,231.6331,81.02293,81.54623,1756.18,237.3948
2.499998,B,2.499998,1.439465,0.001569755,1.038047,0.00004592171,249.3404,7.500363,69.71688,0.003111951,43.9754,53.50642,4.433033,738.800197313164,728.4554,123.2009,1651.46750815379,1631.099,243.9049,80.99355,81.49535,1916.018,261.1701
2.599998,B,2.599998,1.505159,-0.001080967,1.016396,-0.00005196931,252.2033,7.389373,74.17909,-0.003825739,43.80241,53.44252,4.48377,743.413884949817,732.9357,124.3763,1725.59718837704,1704.197,256.2511,80.96603,81.4488,2083.145,286.1767
2.699998,B,2.699998,1.571357,0.003504584,0.9973713,0.001347759,255.0977,7.277187,78.82528,0.1074077,43.62943,53.37929,4.53482,747.611893179141,737.1019,124.9173,1800.16961467289,1777.72,268.7418,80.94539,81.40356,2257.605,312.4262
2.799998,B,2.799998,1.638037,0.0002907689,0.9809073,-0.0001695584,255.5994,7.16378,83.67729,-0.01457926,43.45644,53.30874,4.582466,740.426112766946,729.8309,124.8106,1875.04410751321,1851.535,281.3174,80.9178,81.3607,2439.438,339.9284
2.899998,B,2.899998,1.699728,-0.0002826489,0.9679996,0.0001166824,233.8092,7.05482,88.28954,0.01071196,43.28346,53.242,4.631879,631.949883463974,622.6658,107.9257,1943.08380876639,1918.597,292.8365,80.89398,81.32189,2628.369,368.6499
2.999998,B,2.999998,1.7523,0.002042357,0.9587146,0.0008799552,215.3802,6.955569,92.25855,0.08513645,43.11047,53.18987,4.688089,537.819135532571,529.7219,92.97382,2000.75037549232,1975.408,302.7655,80.87302,81.28624,2823.428,398.4424
3.099998,B,3.099998,1.797678,0.001412237,0.9519427,0.0003398354,200.8384,6.863805,95.68779,0.03431391,42.93749,53.14901,4.749546,461.213811497774,453.9836,81.34538,2050.29172606283,2024.191,311.4388,80.84937,81.25315,3023.715,429.1622
3.199997,B,3.199997,1.836514,-0.00008191005,0.9475536,-0.00007111995,186.9478,6.778666,98.63772,-0.007430883,42.7645,53.11596,4.814628,387.496483734653,381.1101,70.06152,2092.32032895188,2065.554,318.9331,80.82542,81.22253,3228.469,460.6898
3.299997,B,3.299997,1.869089,0.0003953562,0.9438562,0.0003067828,173.6986,6.699856,100.9631,0.03291436,42.59152,53.08917,4.882629,317.652423734326,312.1415,58.91304,2127.1831588159,2099.839,325.307,80.80366,81.19374,3436.967,492.911
3.399997,B,3.399997,1.895742,0.001463239,0.9408991,0.0006094393,161.1001,6.627083,102.7007,0.06667702,42.41854,53.06796,4.95322,251.912557302474,247.2217,48.38768,2155.2886072608,2127.449,330.6266,80.78244,81.16634,3648.523,525.7166
3.499997,S,0.010,1.897527,-0.07503974,0.5217134,0.0002909085,0,3.33,30.36576,0.01691967,23.75,32.29074,5.422692,-295.130319775466,-32.00517,-293.3898,2152.46995455348,2125,328.1155,80.76147,81.22243,3861.809,558.8967
3.599997,S,0.11,1.872711,0.06581713,0.5236055,0.01738442,0,3.33,29.44143,0.9745867,23.75,32.28953,5.421925,-316.282366838894,-311.8409,-52.81845,2120.42454092249,2093.244,323.7525,80.88206,81.20798,4072.552,591.5099
3.699997,S,0.21,1.846481,-0.03057064,0.5256711,-0.01019721,0,3.33,28.5027,-0.551287,23.75,32.31683,5.439257,-307.350909482862,-305.1331,-36.85611,2089.30627347472,2062.422,319.4201,80.76806,81.1962,4280.176,623.6519
3.799997,S,0.31,1.820979,-0.01084072,0.5277887,0.00147442,0,3.33,27.60915,0.0769052,23.75,32.34517,5.457248,-298.574738194238,-295.6631,-41.59574,2059.06837844241,2032.493,315.0796,80.77384,81.18807,4484.763,655.3811
3.899997,S,0.4099999,1.796171,0.01271181,0.529957,0.005346918,0,3.33,26.7578,0.2691981,23.75,32.35872,5.465851,-290.327919920893,-287.2377,-42.24695,2029.67235288768,2003.357,311.1069,80.77637,81.17288,4686.403,686.6953
3.999997,S,0.5099998,1.772026,0.002133938,0.5321603,0.00267535,0,3.33,25.94526,0.1300682,23.75,32.37904,5.478755,-282.490901519766,-279.6776,-39.7687,2001.07766275672,1975.022,307.1994,80.74601,81.15893,4885.174,717.6113
4.099997,S,0.6099997,1.748513,-0.004178695,0.5344002,-0.001257034,0,3.33,25.16924,-0.05903932,23.75,32.39742,5.490425,-275.023490271575,-272.5417,-36.86383,1973.2502447795,1947.445,303.4094,80.71952,81.14458,5081.153,748.1414
